  Freq. (cm^{-1})           IR Inten.        QC-IR Inten.
         917.6307        3.246504E-03        4.515120E-03
         919.6835        2.740932E-03        3.814630E-03
         921.7364        2.405530E-03        3.350161E-03
         923.7893        2.245453E-03        3.129389E-03
         925.8421        1.968215E-03        2.744913E-03
         927.8950        1.722828E-03        2.404354E-03
         929.9479        1.632306E-03        2.279599E-03
         932.0007        1.485184E-03        2.075570E-03
         934.0536        1.300285E-03        1.818427E-03
         936.1065        1.231162E-03        1.722951E-03
         938.1593        1.158770E-03        1.622761E-03
         940.2122        1.022983E-03        1.433593E-03
         942.2651        9.573783E-04        1.342582E-03
         944.3179        9.247898E-04        1.297777E-03
         946.3708        8.311297E-04        1.167147E-03
         948.4237        7.653539E-04        1.075521E-03
         950.4765        7.499690E-04        1.054628E-03
         952.5294        6.913477E-04        9.728635E-04
         954.5822        6.280227E-04        8.843620E-04
         956.6351        6.160395E-04        8.680856E-04
         958.6880        5.843118E-04        8.239442E-04
         960.7408        5.279635E-04        7.449997E-04
         962.7937        5.123130E-04        7.234135E-04
         964.8466        4.987879E-04        7.048002E-04
         966.8994        4.532438E-04        6.408860E-04
         968.9523        4.316936E-04        6.108341E-04
         971.0052        4.280635E-04        6.061143E-04
         973.0580        3.954436E-04        5.603114E-04
         975.1109        3.693588E-04        5.237112E-04
         977.1638        3.688020E-04        5.232811E-04
         979.2166        3.488787E-04        4.953526E-04
         981.2695        3.212778E-04        4.564771E-04
         983.3224        3.190191E-04        4.535792E-04
         985.3752        3.096631E-04        4.405792E-04
         987.4281        2.839960E-04        4.043381E-04
         989.4810        2.775767E-04        3.954698E-04
         991.5338        2.754361E-04        3.926892E-04
         993.5867        2.545354E-04        3.631398E-04
         995.6395        2.436171E-04        3.478013E-04
         997.6924        2.449615E-04        3.499602E-04
         999.7453        2.304181E-04        3.294086E-04
        1001.7981        2.162634E-04        3.093847E-04
        1003.8510        2.177838E-04        3.117730E-04
        1005.9039        2.097454E-04        3.004711E-04
        1007.9567        1.944749E-04        2.787858E-04
        1010.0096        1.938349E-04        2.780585E-04
        1012.0625        1.911954E-04        2.744598E-04
        1014.1153        1.770782E-04        2.543684E-04
        1016.1682        1.731961E-04        2.489619E-04
        1018.2211        1.740296E-04        2.503309E-04
        1020.2739        1.628704E-04        2.344391E-04
        1022.3268        1.558739E-04        2.245214E-04
        1024.3797        1.579834E-04        2.277153E-04
        1026.4325        1.507454E-04        2.174309E-04
        1028.4854        1.416877E-04        2.045058E-04
        1030.5383        1.431358E-04        2.067368E-04
        1032.5911        1.398240E-04        2.020912E-04
        1034.6440        1.302300E-04        1.883531E-04
        1036.6968        1.297115E-04        1.877309E-04
        1038.7497        1.295088E-04        1.875654E-04
        1040.8026        1.209417E-04        1.752771E-04
        1042.8554        1.180341E-04        1.711796E-04
        1044.9083        1.196444E-04        1.736331E-04
        1046.9612        1.132089E-04        1.644054E-04
        1049.0140        1.081154E-04        1.571153E-04
        1051.0669        1.100311E-04        1.600080E-04
        1053.1198        1.063038E-04        1.546928E-04
        1055.1726        9.995642E-05        1.455551E-04
        1057.2255        1.009658E-04        1.471249E-04
        1059.2784        9.981525E-05        1.455471E-04
        1061.3312        9.334556E-05        1.362056E-04
        1063.3841        9.269199E-05        1.353438E-04
        1065.4370        9.343841E-05        1.365263E-04
        1067.4898        8.791895E-05        1.285488E-04
        1069.5427        8.543244E-05        1.249979E-04
        1071.5956        8.707962E-05        1.274944E-04
        1073.6484        8.325801E-05        1.219817E-04
        1075.7013        7.931093E-05        1.162776E-04
        1077.7542        8.083097E-05        1.185864E-04
        1079.8070        7.897815E-05        1.159466E-04
        1081.8599        7.429532E-05        1.091457E-04
        1083.9127        7.486128E-05        1.100516E-04
        1085.9656        7.476595E-05        1.099859E-04
        1088.0185        7.022349E-05        1.033735E-04
        1090.0713        6.940940E-05        1.022442E-04
        1092.1242        7.048392E-05        1.038972E-04
        1094.1771        6.684066E-05        9.859346E-05
        1096.2299        6.464846E-05        9.542431E-05
        1098.2828        6.611467E-05        9.765443E-05
        1100.3357        6.384723E-05        9.436901E-05
        1102.3885        6.066462E-05        8.972551E-05
        1104.4414        6.177199E-05        9.142503E-05
        1106.4943        6.098067E-05        9.031475E-05
        1108.5471        5.742582E-05        8.510726E-05
        1110.6000        5.762722E-05        8.546333E-05
        1112.6529        5.805320E-05        8.615312E-05
        1114.7057        5.479559E-05        8.137351E-05
        1116.7586        5.386151E-05        8.004028E-05
        1118.8115        5.498898E-05        8.177078E-05
        1120.8643        5.257094E-05        7.822770E-05
        1122.9172        5.060864E-05        7.535842E-05
        1124.9700        5.181949E-05        7.721336E-05
        1127.0229        5.053000E-05        7.534262E-05
        1129.0758        4.792075E-05        7.150016E-05
        1131.1286        4.866622E-05        7.266127E-05
        1133.1815        4.849376E-05        7.245245E-05
        1135.2344        4.575533E-05        6.840702E-05
        1137.2872        4.567501E-05        6.833281E-05
        1139.3401        4.634094E-05        6.937565E-05
        1141.3930        4.399040E-05        6.590095E-05
        1143.4458        4.298921E-05        6.444432E-05
        1145.4987        4.404316E-05        6.606857E-05
        1147.5516        4.246113E-05        6.373813E-05
        1149.6044        4.070575E-05        6.114412E-05
        1151.6573        4.165813E-05        6.261664E-05
        1153.7102        4.100239E-05        6.167231E-05
        1155.7630        3.884279E-05        5.846317E-05
        1157.8159        3.928138E-05        5.916291E-05
        1159.8688        3.946836E-05        5.948432E-05
        1161.9216        3.735034E-05        5.632987E-05
        1163.9745        3.706261E-05        5.593334E-05
        1166.0273        3.781361E-05        5.710490E-05
        1168.0802        3.612705E-05        5.459440E-05
        1170.1331        3.510163E-05        5.308027E-05
        1172.1859        3.602440E-05        5.451210E-05
        1174.2388        3.502889E-05        5.304111E-05
        1176.2917        3.346359E-05        5.070477E-05
        1178.3445        3.416985E-05        5.180950E-05
        1180.3974        3.393070E-05        5.148124E-05
        1182.4503        3.215056E-05        4.881289E-05
        1184.5031        3.234931E-05        4.914742E-05
        1186.5560        3.273946E-05        4.977335E-05
        1188.6089        3.110575E-05        4.732118E-05
        1190.6617        3.067146E-05        4.669159E-05
        1192.7146        3.142041E-05        4.786361E-05
        1194.7675        3.022994E-05        4.608082E-05
        1196.8203        2.920920E-05        4.455452E-05
        1198.8732        2.997418E-05        4.575184E-05
